"","Site","B.Al.mg.kg.soil","C.Al.mg.kg.soil","O.Al.mg.kg.soil","B.Ca.mg.kg.soil","C.Ca.mg.kg.soil","O.Ca.mg.kg.soil","B.Fe.mg.kg.soil","C.Fe.mg.kg.soil","O.Fe.mg.kg.soil","B.K.mg.kg.soil","C.K.mg.kg.soil","O.K.mg.kg.soil","B.Mg.mg.kg.soil","C.Mg.mg.kg.soil","O.Mg.mg.kg.soil","B.Mn.mg.kg.soil","C.Mn.mg.kg.soil","O.Mn.mg.kg.soil","B.Na.mg.kg.soil","C.Na.mg.kg.soil","O.Na.mg.kg.soil","B.P.mg.kg.soil","C.P.mg.kg.soil","O.P.mg.kg.soil","B.Sr.mg.kg.soil","C.Sr.mg.kg.soil","O.Sr.mg.kg.soil","B.pH","C.pH","O.pH","B.Bottom_actual","C.Bottom_actual","O.Bottom_actual","B.Bottom_full","C.Bottom_full","O.Bottom_full","B.percent_N","C.percent_N","O.percent_N","B.percent_C","C.percent_C","O.percent_C","B.Top_Depth","C.Top_Depth","O.Top_Depth"
"1",1,338.7306,249.0724,183.4594,66.9433,42.3402,1279.4427,16.6937,14.7031,7.9427,16.1617,10.901,395.0961,4.6972,2.4927,226.3025,1.5131,1.7882,42.984,4.6031,4.0056,33.4688,1.4035,1.6884,31.5596,0.8477,0.7246,10.448,4.61,4.66,3.79,45,55,8,45,55,8,2e-04,2e-04,0.0211,0.0038,0.0025,0.3842,8,45,0
"2",2,166.0068,917.7805,375.5886,48.7991,20.8188,2392.4501,21.0814,39.917,22.4985,13.7709,13.2395,394.4326,7.4683,1.1182,292.7861,0.2545,0.0643,28.7925,3.5505,6.0562,36.208,4.1971,2.1875,49.5544,0.3811,0.2615,18.0248,3.7,4.06,3.99,27,46,7,36,46,7,5e-04,4e-04,0.0163,0.0058,0.0078,0.2715,7,36,0
"3",3,2201.7276,2087.924,368.8292,47.0096,201.3479,426.844,68.5901,1397.0972,273.6773,26.2123,52.6708,100.0657,4.069,19.2735,53.5997,2.1178,2.6008,28.3286,4.8766,8.9098,6.877,6.7376,9.0364,9.1454,0.277,1.5995,2.3158,3.41,4.14,3.45,36,90,8,56,90,8,0.0038,2e-04,0.0075,0.0813,0.0041,0.1349,12,56,0
"5",5,-1,907.9613,-1,-1,47.2447,-1,-1,52.5758,-1,-1,31.7502,-1,-1,9.3623,-1,-1,49.7932,-1,-1,5.6708,-1,-1,8.799,-1,-1,0.4986,-1,-1,3.9932,-1,-1,54,-1,-1,54,-1,-1,0.0017,-1,-1,0.0274,-1,-1,6,-1
"6",6,-1,4383.7431,2481.6141,-1,123.3032,1744.227,-1,142.497,256.693,-1,141.4821,600.8169,-1,8.8637,222.9006,-1,4.3358,330.3954,-1,29.6812,44.916,-1,23.2635,125.0317,-1,1.2632,12.9064,-1,4.22,4.28,-1,49,39,-1,49,39,-1,7e-04,0.0048,-1,0.0109,0.0727,-1,39,0
"7",7,1970.4786,1427.3437,247.1072,17.2095,10.9956,274.3852,456.4178,25.7446,218.6498,26.8173,8.0581,317.0913,5.5033,0.6413,117.4576,2.0151,2.7423,26.2587,4.1289,3.3042,13.2723,8.6954,4.7762,87.574,0.1803,0.0868,2.5225,3.82,4.21,3.07,15,83,8,73,83,8,0.0025,6e-04,0.012,0.0521,0.0128,0.2055,8,73,4
"11",13,895.7069,493.7855,310.683,196.0994,23.2557,958.56,44.6436,16.5399,130.6418,36.8615,6.8959,98.5698,17.422,0.9131,79.2798,5.3325,1.3334,12.5357,12.8918,3.4049,20.8313,5.3556,2.5026,13.3783,1.8324,0.2948,8.9564,3.72,4.09,6.8,29,72,12,62,72,12,0.0031,4e-04,0.006,0.047,0.0057,0.1005,12,62,5
"12",14,1220.0331,1027.406,594.5735,109.6252,22.716,476.2306,90.6189,56.2588,135.8843,45.1812,11.8552,164.8714,14.676,1.0407,69.2961,10.0381,0.5016,7.0524,6.851,4.9513,8.6803,9.9301,2.6532,21.6166,1.0605,0.3336,4.1203,3.69,4.15,3.27,33,80,8,54,80,8,0.0028,5e-04,0.0103,0.0583,0.0097,0.1865,8,54,2
"16",18,619.1832,435.9949,-1,469.6085,184.7273,-1,53.2996,44.0841,-1,30.0349,20.5805,-1,36.9318,14.1009,-1,11.4988,6.5337,-1,9.5873,6.8906,-1,3.1056,1.0852,-1,2.9499,1.3314,-1,3.68,4.47,-1,54,78,-1,68,78,-1,0.001,4e-04,-1,0.0155,0.0055,-1,28,68,-1
"19",21,1903.6358,853.2449,115.6176,47.3588,89.8623,1035.0956,3038.6585,46.5529,134.3922,57.0728,43.2475,350.2004,14.5449,9.5748,190.0789,0.9662,3.7752,93.7706,8.6846,10.0492,18.2321,7.7561,2.1929,123.3097,1.5258,1.2453,6.8862,3.44,4.61,3.3,27,101,8,91,101,8,0.0044,7e-04,0.0143,0.0964,0.0116,0.2765,14,91,3
