Plot,NE,Species,Leaf count,Leaf size,LAI,Percent cover,,,,,,,,,,,,A,NE
34,NE,ACERUB,115,4,460,A,,,,,,,,,,,,B,SE
34,NE,MIACAN,8,8,64,A,,,,,,,,,,,,C,SW
34,NE,GOOTESS,7,3,21,A,,,,,,,,,,,,D,NW
34,NE,DIPDIG,-1,-1,40,A,,,,,,,,,,,,E,NE2
34,NE,PRUVIR,3,5,15,A,,,,,,,,,,,,F,SE2
34,NE,UNK004,2,4,8,A,,,,,,,,,,,,,SW2
34,NE2,BRAARI,8,10,80,B,,,,,,,,,,,,,NW2
34,NE2,ACESAC,14,2,28,A,,,,,,,,,,,,,
34,NE2,ACEPEN,32,3,96,A,,,,,,,,,,,,,
34,NE2,DIPDIG,-1,-1,40,A,,,,,,,,,,,,,
34,NE2,MIACAN,3,15,45,A,,,,,,,,,,,,,
34,NE2,CLIBOR,1,20,20,A,,,,,,,,,,,,,
34,NE2,FAGGRA,45,40,1800,B,,,,,,,,,,,,,
34,SE,UVUSES,31,7,217,A,,,,,,,,,,,,,
34,SE,MIACAN,26,8,208,A,,,,,,,,,,,,,
34,SE,ACESAC,134,2,268,A,,,,,,,,,,,,,
34,SE,DIPDIG,-1,-1,40,A,,,,,,,,,,,,,
34,SE,ACEPEN,2,6,12,A,,,,,,,,,,,,,
34,SE,CLIBOR,2,17,34,A,,,,,,,,,,,,,
34,SE,PRUVIR,2,3,6,A,,,,,,,,,,,,,
34,SW,VIOBLA,4,3,12,,,,,,,,,,,,,,
34,SW,UVUSES,37,7,259,,,,,,,,,,,,,,
34,SW,DIPDIG,-1,-1,30,,,,,,,,,,,,,,
34,SW,ABIBAL,-1,-1,60,,,,,,,,,,,,,,
34,SW,ACEPEN,3,4,12,,,,,,,,,,,,,,
34,SW,PRUVIR,6,8,48,,,,,,,,,,,,,,
34,SW,BETALL,0.5,2,1,,,,,,,,,,,,,,
34,NW,MEDVIR,13,6,78,,,,,,,,,,,,,,
34,NW,MIACAN,6,15,90,,,,,,,,,,,,,,
34,NW,DIPDIG,20,40,800,,,,,,,,,,,,,,
34,NW,ACEPEN,2,5,10,,,,,,,,,,,,,,
34,NW,ACESAC,26,2,52,,,,,,,,,,,,,,
34,NW,DRYINT,3,65,195,,,,,,,,,,,,,,
34,NW,FAGGRA,2,25,50,,,,,,,,,,,,,,
34,NW,BETALL,4,0.5,2,,,,,,,,,,,,,,
128,NE,VIOBLA,37,12.5,462.5,,,,,,,,,,,,,,
128,NE,OXAMON,84,7,588,,,,,,,,,,,,,,
128,NE,CLIBOR,10,50,500,,,,,,,,,,,,,,
128,NE,MIACAN,8,10,80,,,,,,,,,,,,,,
128,NE,ACESAC,33,25,825,,,,,,,,,,,,,,
128,NE,TRIBOR,23,6,138,,,,,,,,,,,,,,
128,NE,RUBIDE,60,15,900,,,,,,,,,,,,,,
128,NE,PRUSER,20,17,340,,,,,,,,,,,,,,
128,NE,DRYINT,20,210,4200,,,,,,,,,,,,,,
128,NE,ACERUB,9,15,135,,,,,,,,,,,,,,
128,NE,BRAERE,6,12,72,,,,,,,,,,,,,,
128,NE,UNK007,1,12,12,,,,,,,,,,,,,,
128,SE,CORCOR,27,30,810,,,,,,,,,,,,,,
128,SE,OXAMON,114,6,684,,,,,,,,,,,,,,
128,SE,CLIBOR,12,30,360,,,,,,,,,,,,,,
128,SE,ACERUB,28,30,840,,,,,,,,,,,,,,
128,SE,TRIGRA,6,65,390,,,,,,,,,,,,,,
128,SE,MIACAN,54,10,540,,,,,,,,,,,,,,
128,SE,CHACAM,40,12,480,,,,,,,,,,,,,,
128,SE,FAGGRA,96,75,7200,,,,,,,,,,,,,,
128,SE,DRYINT,7,80,560,,,,,,,,,,,,,,
128,SE,ARANUD,3,175,525,,,,,,,,,,,,,,
128,SE,LONCAN,35,15,525,,,,,,,,,,,,,,
128,SE,UNK004,27,5,135,,,,,,,,,,,,,,
128,SW2,VIOBLA,26,10,260,,,,,,,,,,,,,,
128,SW2,ACESPI,24,40,960,,,,,,,,,,,,,,
128,SW2,TRIBOR,41,13,533,,,,,,,,,,,,,,
128,SW2,DRYINT,24,250,6000,,,,,,,,,,,,,,
128,SW2,ACERUB,5,50,250,,,,,,,,,,,,,,
128,SW2,RUBIDE,41,15,615,,,,,,,,,,,,,,
128,SW2,OXAMON,54,10,540,,,,,,,,,,,,,,
128,SW2,ACEPEN,2,7,14,,,,,,,,,,,,,,
128,SW2,CLIBOR,10,20,200,,,,,,,,,,,,,,
128,SW2,MIACAN,10,15,150,,,,,,,,,,,,,,
128,SW2,STRROS,2,6,12,,,,,,,,,,,,,,
128,SW,OXAMON,117,6,702,,,,,,,,,,,,,,
128,SW,DRYINT,31,210,6510,,,,,,,,,,,,,,
128,SW,TRIBOR,33,7,231,,,,,,,,,,,,,,
128,SW,ACERUB,41,25,1025,,,,,,,,,,,,,,
128,SW,MIACAN,20,15,300,,,,,,,,,,,,,,
128,SW,RUBIDE,11,20,220,,,,,,,,,,,,,,
128,SW,CLIBOR,9,15,135,,,,,,,,,,,,,,
128,SW,BETALL,28,10,280,,,,,,,,,,,,,,
128,SW,ACEPEN,2,7,14,,,,,,,,,,,,,,
128,NW,ACESPI,56,50,2800,,,,,,,,,,,,,,
128,NW,ACERUB,92,50,4600,,,,,,,,,,,,,,
128,NW,BETALL,72,55,3960,,,,,,,,,,,,,,
128,NW,OXAMON,56,5,280,,,,,,,,,,,,,,
128,NW,DRYINT,9,230,2070,,,,,,,,,,,,,,
128,NW,MIACAN,1,20,20,,,,,,,,,,,,,,
128,NW,TRIBOR,5,3,15,,,,,,,,,,,,,,
198,NE,ACESAC,5,5,25,A,,,,,,,,,,,,,
198,NE,MIACAN,35,5,175,A,,,,,,,,,,,,,
198,NE,FAGGRA,16,30,480,A,,,,,,,,,,,,,
198,NE,TRIBOR,25,3,75,A,,,,,,,,,,,,,
198,NE,VIBLAT,1,35,35,A,,,,,,,,,,,,,
198,NE,DRYINT,1,10,10,A,,,,,,,,,,,,,
198,SE,ACESAC,8,1.5,12,A,,,,,,,,,,,,,
198,SE,FAGGRA,23,35,805,A,,,,,,,,,,,,,
198,SE,OXAMON,6,2,12,A,,,,,,,,,,,,,
198,SE,DRYINT,2,100,200,A,,,,,,,,,,,,,
198,SW,ACESAC,1,1,1,A,,,,,,,,,,,,,
198,SW,MIACAN,3,20,60,A,,,,,,,,,,,,,
198,SE2,VIBLAT,22,80,1760,B,,,,,,,,,,,,,
198,SE2,MIACAN,40,15,600,A,,,,,,,,,,,,,
198,SE2,TRIBOR,6,10,60,A,,,,,,,,,,,,,
198,SE2,FAGGRA,55,35,1925,B,,,,,,,,,,,,,
198,SE2,DRYINT,5,80,400,B,,,,,,,,,,,,,
198,SE2,CLIBOR,4,40,160,A,,,,,,,,,,,,,
198,NW,VIBLAT,7,50,350,A,,,,,,,,,,,,,
199,NE,ANEQUI,23,10,230,A,,,,,,,,,,,,,
199,NE,MITREP,25,1,25,A,,,,,,,,,,,,,
199,NE,UVUSES,30,5,150,A,,,,,,,,,,,,,
199,NE,BRAARI,27,10,270,A,,,,,,,,,,,,,
199,NE,THENOV,22,10,220,A,,,,,,,,,,,,,
199,NE,TRIBOR,13,2,26,A,,,,,,,,,,,,,
199,NE,ERYAME,2,3,6,A,,,,,,,,,,,,,
199,NE2,UVUSES,29,6,174,A,,,,,,,,,,,,,
199,NE2,VIBLAT,4,10,40,A,,,,,,,,,,,,,
199,NE2,PREULT,3,15,45,A,,,,,,,,,,,,,
199,NE2,MITREP,16,1,16,A,,,,,,,,,,,,,
199,NE2,ACERUB,20,1,20,A,,,,,,,,,,,,,
199,NE2,ERYAME,5,7,35,A,,,,,,,,,,,,,
199,NE2,THENOV,2,8,16,A,,,,,,,,,,,,,
199,NE2,TRIBOR,17,3,51,A,,,,,,,,,,,,,
199,NE2,MIACAN,6,6,36,A,,,,,,,,,,,,,
199,NE2,ANEQUI,9,10,90,A,,,,,,,,,,,,,
199,NE2,ARANUD,3,5,15,A,,,,,,,,,,,,,
